,action,amount,assetPriceUSD,id,timestamp,txHash,caller_id,pool,reserve_decimals,reserve_name,underlying_asset,user_id
0,Supply,0.03808815,0.0,18037947:101:0x2ce4c50637179f502c8f57ae4016c2f223c9edc803cf2fc47150da683bc8dbd9:232:232,1693525919,0x2ce4c50637179f502c8f57ae4016c2f223c9edc803cf2fc47150da683bc8dbd9,0xe7e61486cf7ecb8f87e60581810649faf84cbe59,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xe7e61486cf7ecb8f87e60581810649faf84cbe59
1,Supply,2.72,1782.44,18037890:105:0xceea93e20af39e8fdb858468fddce74d2bb329f8d3d64762813a7c97a755acaf:545:545,1693525235,0xceea93e20af39e8fdb858468fddce74d2bb329f8d3d64762813a7c97a755acaf,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x13bd7498930782b913d22f5fa2e9b96efe58008b
2,Supply,9.1,1782.44,18037873:124:0xf1424f74204fd14d7ce923b6d47cc8641533bf239dfea8be630e3a6a44ca894e:752:752,1693525031,0xf1424f74204fd14d7ce923b6d47cc8641533bf239dfea8be630e3a6a44ca894e,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0ca7e7e5745bd457f5ed7265ff2cd1c8208575e1
3,Supply,0.02819338,0.0,18037739:118:0xb8849fc2e7e6cc032f5f2b19aaf377d04081e78561b429fcf9b812006fe1ab32:461:461,1693523399,0xb8849fc2e7e6cc032f5f2b19aaf377d04081e78561b429fcf9b812006fe1ab32,0x1e132d052f26ab9de16fd7fd0e195c30441c6452,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1e132d052f26ab9de16fd7fd0e195c30441c6452
4,Supply,12.0,1782.44,18037704:72:0x6eef80f6a7d232e5481769985db931d2309cb964af8bd5a1cd4bd26677d28cf6:210:210,1693522979,0x6eef80f6a7d232e5481769985db931d2309cb964af8bd5a1cd4bd26677d28cf6,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0ca7e7e5745bd457f5ed7265ff2cd1c8208575e1
5,Supply,0.71954177,0.0,18037693:100:0xe7dd8fa1c81e58c751653ec6dbc6845ea96a8fe7e478c24dddcc4d7e3e874269:278:278,1693522847,0xe7dd8fa1c81e58c751653ec6dbc6845ea96a8fe7e478c24dddcc4d7e3e874269,0xadc0a53095a0af87f3aa29fe0715b5c28016364e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x4b252ab7fb2080850598db600c08a4f995250e12
6,Supply,0.4437423,0.0,18037676:27:0x7b52d5892b9df94e0f64d29f90dc25f07eb4dc4e8219e332e1c285d141b06261:239:239,1693522631,0x7b52d5892b9df94e0f64d29f90dc25f07eb4dc4e8219e332e1c285d141b06261,0xb748952c7bc638f31775245964707bcc5ddfabfc,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xd107dde5c73eb51a5722e8374181f4f613fb1ea4
7,Supply,500.0,6.32194,18037647:70:0xd18e52c02e192449358df070dcd35e4f973bcb1bed986e9ad3a316c103da74b6:132:132,1693522283,0xd18e52c02e192449358df070dcd35e4f973bcb1bed986e9ad3a316c103da74b6,0xbd7fc37c1bf5cec9eeee9fd9729dd8f3da86d8e7,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0xbd7fc37c1bf5cec9eeee9fd9729dd8f3da86d8e7
8,Supply,0.06,1782.44,18037441:101:0xc64129a17ee75e3fc157033bc198e8cd794f7c0e931a688feaa9ea72244a7165:251:251,1693519799,0xc64129a17ee75e3fc157033bc198e8cd794f7c0e931a688feaa9ea72244a7165,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x162073d3bd1d3bce47e85ee5b9904887d1ba6e77
9,Supply,0.07,1782.44,18037427:115:0x279e2cd132c0651fe3991e63601c51d9a6b3189e9bc3dc57a1e9487aa652462f:274:274,1693519631,0x279e2cd132c0651fe3991e63601c51d9a6b3189e9bc3dc57a1e9487aa652462f,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa92df0442977ff314ebee1a22c9a6221a08d43ff
10,Supply,4.6,1782.44,18037390:39:0xcaeae62c7cf2468888bbaed5611520413f4f2169cc14680bbf2c6f75008a1e54:184:184,1693519175,0xcaeae62c7cf2468888bbaed5611520413f4f2169cc14680bbf2c6f75008a1e54,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0930593665dd4ac1c6e044e0113c9d1ceb2f1a3
11,Supply,6.2,1782.44,18037369:112:0x72bc46e00705060aa86b06f93f1eaff9ffadbd71ac0499bef05304c4e82d5f51:290:290,1693518923,0x72bc46e00705060aa86b06f93f1eaff9ffadbd71ac0499bef05304c4e82d5f51,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x980e5dd186eb72c92565f93817cb858ae522633f
12,Supply,4.2,1782.44,18037323:62:0x25b06f10588f57bdc598a5d18df198a5033551ed86770a934753eabd1f983ede:316:316,1693518371,0x25b06f10588f57bdc598a5d18df198a5033551ed86770a934753eabd1f983ede,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x980e5dd186eb72c92565f93817cb858ae522633f
13,Supply,0.27506642,0.0,18037315:63:0x6b89e29a21f7fd17e68443199f8634eaae60977dc35a750a2e1fd47490a2ea44:202:202,1693518275,0x6b89e29a21f7fd17e68443199f8634eaae60977dc35a750a2e1fd47490a2ea44,0x1ac693169a77c77cd21e8c9e611f43355d95f677,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1ac693169a77c77cd21e8c9e611f43355d95f677
