,action,amount,assetPriceUSD,id,timestamp,txHash,pool,reserve_decimals,reserve_name,underlying_asset,to_id,user_id
0,RedeemUnderlying,96.69305602479342,1782.44,18908830:6:0xa4cb767cc0a97a2fac18169026d85489068b81000865d0d9ec3871d2c86ffc56:80:80,1704066431,0xa4cb767cc0a97a2fac18169026d85489068b81000865d0d9ec3871d2c86ffc56,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb0000000aa4f00af1200c8b2befb6300853f0069,0xb0000000aa4f00af1200c8b2befb6300853f0069
1,RedeemUnderlying,0.6592671808080083,1782.44,18908825:71:0x9d3e935be2917ccd25927b027221689decea2246a50c744533d57c688657fc51:123:123,1704066371,0x9d3e935be2917ccd25927b027221689decea2246a50c744533d57c688657fc51,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3
2,RedeemUnderlying,150.19976677851167,1782.44,18908785:123:0xceafd9d948908a31bc3a736830f021552d8a984b1274c01d1c0d9df5568afed5:337:337,1704065891,0xceafd9d948908a31bc3a736830f021552d8a984b1274c01d1c0d9df5568afed5,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
3,RedeemUnderlying,0.2500124971727979,1782.44,18908784:85:0x4a849e112fa093831eee63fe8b052712155a3cffd573f2abfa1cb796aef4fd65:186:186,1704065879,0x4a849e112fa093831eee63fe8b052712155a3cffd573f2abfa1cb796aef4fd65,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x78f8bd884c3d738b74b420540659c82f392820e0,0x78f8bd884c3d738b74b420540659c82f392820e0
4,RedeemUnderlying,6300.0,1.0003,18908590:85:0x9d317b1a8709ea697502a463b51109c1502a61c5bd258bef68615c3286e12252:181:181,1704063551,0x9d317b1a8709ea697502a463b51109c1502a61c5bd258bef68615c3286e12252,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x8b278b5ab244a2812fa2e4287139c1db823419bb,0x8b278b5ab244a2812fa2e4287139c1db823419bb
5,RedeemUnderlying,938.5433609222702,6.32194,18908584:24:0xb0d862ff09b5e839c45f4e40403c596bb81346099ebff52a836bfea9c8eb0bb3:64:64,1704063479,0xb0d862ff09b5e839c45f4e40403c596bb81346099ebff52a836bfea9c8eb0bb3,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0xd6394b314c2fe4262a5614016b0043035fa834ce,0xd6394b314c2fe4262a5614016b0043035fa834ce
6,RedeemUnderlying,0.08822459,0.0,18908570:2:0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238:196:196,1704063311,0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x9024646449a60e30c3484ee402683ce003ce8abc,0x9024646449a60e30c3484ee402683ce003ce8abc
7,RedeemUnderlying,39901.648743,0.99965,18908570:2:0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238:190:190,1704063311,0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9024646449a60e30c3484ee402683ce003ce8abc,0x9024646449a60e30c3484ee402683ce003ce8abc
8,RedeemUnderlying,45750.437856,1.0003,18908570:2:0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238:184:184,1704063311,0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x9024646449a60e30c3484ee402683ce003ce8abc,0x9024646449a60e30c3484ee402683ce003ce8abc
9,RedeemUnderlying,38.85621298277143,1782.44,18908570:2:0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238:178:178,1704063311,0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x9024646449a60e30c3484ee402683ce003ce8abc,0x9024646449a60e30c3484ee402683ce003ce8abc
10,RedeemUnderlying,100036058.59547284,1.00011,18908570:2:0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238:165:165,1704063311,0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x9024646449a60e30c3484ee402683ce003ce8abc,0x9024646449a60e30c3484ee402683ce003ce8abc
11,RedeemUnderlying,398.85423728716114,1782.44,18908570:2:0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238:130:130,1704063311,0xdaff092020f11c44a1227e7ef7bade34ae3310adc6fb6f86165f423269583238,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x9024646449a60e30c3484ee402683ce003ce8abc,0x9024646449a60e30c3484ee402683ce003ce8abc
12,RedeemUnderlying,100000000.0,1.00011,18908570:0:0x8cf386ce8cd655acf1728c7217b67a4f867c1e1cfd709b8e7593586e0f236c6f:98:98,1704063311,0x8cf386ce8cd655acf1728c7217b67a4f867c1e1cfd709b8e7593586e0f236c6f,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,0x9024646449a60e30c3484ee402683ce003ce8abc,0x9024646449a60e30c3484ee402683ce003ce8abc
13,RedeemUnderlying,2142.029797027336,6.32194,18908566:121:0x46a925587c0432230015ce20fc61afab2cfeae1a1334c561b6d06683300212a9:342:342,1704063263,0x46a925587c0432230015ce20fc61afab2cfeae1a1334c561b6d06683300212a9,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0x122e2cd153a58ba06c79ef0384d6a696a93d0ab6,0x122e2cd153a58ba06c79ef0384d6a696a93d0ab6
14,RedeemUnderlying,500.0,6.32194,18908564:82:0x84722309a942c081316038df97e6791067d1abf29df0f25d888c52fc7431a2b4:216:216,1704063239,0x84722309a942c081316038df97e6791067d1abf29df0f25d888c52fc7431a2b4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,0xd6394b314c2fe4262a5614016b0043035fa834ce,0xd6394b314c2fe4262a5614016b0043035fa834ce
15,RedeemUnderlying,0.98981759,0.0,18908508:9:0x5707a975ec848a845d5fb65c855b494cecce5e623370105db16d1dc82d4d08d5:85:85,1704062555,0x5707a975ec848a845d5fb65c855b494cecce5e623370105db16d1dc82d4d08d5,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,8,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3
16,RedeemUnderlying,0.27,1782.44,18908430:95:0x2ea89af563e0846b847064cf4c25eb6f7c02b23ada92ad4fc9057755aa3b55ef:242:242,1704061619,0x2ea89af563e0846b847064cf4c25eb6f7c02b23ada92ad4fc9057755aa3b55ef,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c
17,RedeemUnderlying,2.688915446926766,0.0,18908344:94:0x566029d1f7a64d1ae452a19c2ca9f43d628d5b084e07376cabc609531fcfcf2e:189:189,1704060587,0x566029d1f7a64d1ae452a19c2ca9f43d628d5b084e07376cabc609531fcfcf2e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xcd6ca2f0d0c182c5049d9a1f65cde51a706ae142,0xcd6ca2f0d0c182c5049d9a1f65cde51a706ae142
18,RedeemUnderlying,8.77050516555513,0.0,18908271:136:0xd5e4ef1e012cae3c7bc8025bfbf6cb7be962afffbd85caf07d4066eae9612e6a:275:275,1704059711,0xd5e4ef1e012cae3c7bc8025bfbf6cb7be962afffbd85caf07d4066eae9612e6a,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,18,Wrapped liquid staked Ether 2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xcd6ca2f0d0c182c5049d9a1f65cde51a706ae142,0xcd6ca2f0d0c182c5049d9a1f65cde51a706ae142
