,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
0,18037984,470423,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c972d0700,1.0,,1693526363,USD Coin,Aave v3,Aave,2023-08-31 23:00:00+00:00
1,18037968,470423,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8972d0700,25951.59918816,,1693526171,Wrapped BTC,Aave v3,Aave,2023-08-31 23:00:00+00:00
2,18037968,470423,0x23878914efe38d27c4d67ab83ed1b93a74d4086a972d0700,1.0,,1693526171,Tether USD,Aave v3,Aave,2023-08-31 23:00:00+00:00
3,18037967,470423,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8972d0700,1647.82241616,,1693526159,Wrapped Ether,Aave v3,Aave,2023-08-31 23:00:00+00:00
4,18037965,470423,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a972d0700,5.87719656,,1693526135,ChainLink Token,Aave v3,Aave,2023-08-31 23:00:00+00:00
5,18037965,470423,0x018008bfb33d285247a21d44e50697654f754e63972d0700,0.99985681,,1693526135,Dai Stablecoin,Aave v3,Aave,2023-08-31 23:00:00+00:00
6,18037693,470423,0x0b925ed163218f6662a35e0f0371ac234f9e9371972d0700,1875.15271767,,1693522847,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 23:00:00+00:00
7,18037679,470422,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c962d0700,1.0,,1693522667,USD Coin,Aave v3,Aave,2023-08-31 22:00:00+00:00
8,18037676,470422,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8962d0700,26052.01599,,1693522631,Wrapped BTC,Aave v3,Aave,2023-08-31 22:00:00+00:00
9,18037676,470422,0x018008bfb33d285247a21d44e50697654f754e63962d0700,0.9999,,1693522631,Dai Stablecoin,Aave v3,Aave,2023-08-31 22:00:00+00:00
10,18037665,470422,0x00907f9921424583e7ffbfedf84f92b7b2be4977962d0700,1.0,,1693522499,Gho Token,Aave v3,Aave,2023-08-31 22:00:00+00:00
11,18037647,470422,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a962d0700,5.8184,,1693522283,ChainLink Token,Aave v3,Aave,2023-08-31 22:00:00+00:00
12,18037622,470422,0x23878914efe38d27c4d67ab83ed1b93a74d4086a962d0700,1.0,,1693521983,Tether USD,Aave v3,Aave,2023-08-31 22:00:00+00:00
13,18037585,470422,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8962d0700,1647.5597035,,1693521539,Wrapped Ether,Aave v3,Aave,2023-08-31 22:00:00+00:00
14,18037440,470422,0x0b925ed163218f6662a35e0f0371ac234f9e9371962d0700,1874.8537617,,1693519787,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 22:00:00+00:00
15,18037390,470421,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8952d0700,1647.5597035,,1693519175,Wrapped Ether,Aave v3,Aave,2023-08-31 21:00:00+00:00
16,18037355,470421,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c952d0700,1.0,,1693518755,USD Coin,Aave v3,Aave,2023-08-31 21:00:00+00:00
17,18037343,470421,0x23878914efe38d27c4d67ab83ed1b93a74d4086a952d0700,1.0,,1693518611,Tether USD,Aave v3,Aave,2023-08-31 21:00:00+00:00
18,18037325,470421,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8952d0700,25902.30912269,,1693518395,Wrapped BTC,Aave v3,Aave,2023-08-31 21:00:00+00:00
19,18037101,470421,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a952d0700,5.84847899,,1693515659,ChainLink Token,Aave v3,Aave,2023-08-31 21:00:00+00:00
20,18037093,470420,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8942d0700,26089.82376,,1693515563,Wrapped BTC,Aave v3,Aave,2023-08-31 20:00:00+00:00
21,18037089,470420,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c942d0700,1.0,,1693515515,USD Coin,Aave v3,Aave,2023-08-31 20:00:00+00:00
22,18037075,470420,0x23878914efe38d27c4d67ab83ed1b93a74d4086a942d0700,1.0,,1693515347,Tether USD,Aave v3,Aave,2023-08-31 20:00:00+00:00
23,18037000,470420,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8942d0700,1657.07618712,,1693514435,Wrapped Ether,Aave v3,Aave,2023-08-31 20:00:00+00:00
24,18036992,470420,0x0b925ed163218f6662a35e0f0371ac234f9e9371942d0700,1885.68312046,,1693514339,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 20:00:00+00:00
25,18036985,470420,0xcc9ee9483f662091a1de4795249e24ac0ac2630f942d0700,1793.23156607,,1693514243,Rocket Pool ETH,Aave v3,Aave,2023-08-31 20:00:00+00:00
26,18036920,470420,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c942d0700,1.03250399,,1693513451,Savings Dai,Aave v3,Aave,2023-08-31 20:00:00+00:00
27,18036898,470420,0x018008bfb33d285247a21d44e50697654f754e63942d0700,1.00003,,1693513163,Dai Stablecoin,Aave v3,Aave,2023-08-31 20:00:00+00:00
28,18036876,470420,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a942d0700,5.84847899,,1693512899,ChainLink Token,Aave v3,Aave,2023-08-31 20:00:00+00:00
29,18036766,470419,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8932d0700,26162.540404,,1693511579,Wrapped BTC,Aave v3,Aave,2023-08-31 19:00:00+00:00
30,18036763,470419,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c932d0700,1.0,,1693511543,USD Coin,Aave v3,Aave,2023-08-31 19:00:00+00:00
31,18036763,470419,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8932d0700,1655.50407,,1693511543,Wrapped Ether,Aave v3,Aave,2023-08-31 19:00:00+00:00
32,18036762,470419,0x0b925ed163218f6662a35e0f0371ac234f9e9371932d0700,1883.89411719,,1693511531,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 19:00:00+00:00
33,18036713,470419,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c932d0700,1.03249596,,1693510919,Savings Dai,Aave v3,Aave,2023-08-31 19:00:00+00:00
34,18036695,470419,0x23878914efe38d27c4d67ab83ed1b93a74d4086a932d0700,1.0,,1693510691,Tether USD,Aave v3,Aave,2023-08-31 19:00:00+00:00
35,18036498,470418,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c922d0700,1.0,,1693508291,USD Coin,Aave v3,Aave,2023-08-31 18:00:00+00:00
36,18036491,470418,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8922d0700,1658.56,,1693508207,Wrapped Ether,Aave v3,Aave,2023-08-31 18:00:00+00:00
37,18036491,470418,0x0b925ed163218f6662a35e0f0371ac234f9e9371922d0700,1887.37163721,,1693508207,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 18:00:00+00:00
38,18036458,470418,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8922d0700,26326.46016,,1693507811,Wrapped BTC,Aave v3,Aave,2023-08-31 18:00:00+00:00
39,18036412,470418,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9922d0700,55.32666933,,1693507259,Aave Token,Aave v3,Aave,2023-08-31 18:00:00+00:00
40,18036338,470418,0xf6d2224916ddfbbab6e6bd0d1b7034f4ae0cab18922d0700,4.41726954,,1693506371,Uniswap,Aave v3,Aave,2023-08-31 18:00:00+00:00
41,18036331,470418,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c922d0700,1.03246449,,1693506287,Savings Dai,Aave v3,Aave,2023-08-31 18:00:00+00:00
